app_id,title,rating,rating_score,genres,metacritic_score
32360,The Secret of Monkey Island: Special Edition,Overwhelmingly Positive,91.91,Adventure,86
1082710,Bug Fables: The Everlasting Sapling,Overwhelmingly Positive,93.77,"Action,Adventure,Indie,RPG",86
496620,Monster Slayers,Very Positive,75.82,"Action,Indie",86
1523720,Cook-Out,Very Positive,81.2,"Casual,Indie,Simulation",86
244160,Homeworld Remastered Collection,Very Positive,86.32,"Simulation,Strategy",86
15320,IL-2 Sturmovik: 1946,Very Positive,85.2,Simulation,86
12150,Max Payne 2: The Fall of Max Payne,Very Positive,91.59,Action,86
526140,The Gallery - Episode 2: Heart of the Emberstone,Very Positive,78.06,"Adventure,Casual,Indie",86
1102190,Monster Train,Overwhelmingly Positive,93.79,Strategy,86
377860,Mushihimesama,Overwhelmingly Positive,91.13,Action,86
232430,Gone Home,Mostly Positive,75.38,"Adventure,Indie",86
944430,The Last Friend,Very Positive,83.44,"Action,Indie,Strategy",86
1072040,Panzer Corps 2,Very Positive,80.21,Strategy,86
21690,Resident Evil 5,Very Positive,85.68,"Action,Adventure",86
610370,Desperados III,Overwhelmingly Positive,93.98,Strategy,86
600130,Valfaris,Very Positive,81.6,"Action,Indie",86
477740,Zero Escape: The Nonary Games,Very Positive,90.8,Adventure,86
39190,Dungeon Siege,Very Positive,77.88,RPG,86
1091500,Cyberpunk 2077,Very Positive,77.56,RPG,86
298030,Total Annihilation,Overwhelmingly Positive,91.99,Strategy,86
314660,Oddworld: New 'n' Tasty,Very Positive,83.56,"Action,Adventure,Indie",86
238960,Path of Exile,Very Positive,86.89,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",86
700480,Microsoft Allegiance,Mostly Positive,71.67,"Action,Free to Play,Simulation,Strategy",86
388210,Day of the Tentacle Remastered,Overwhelmingly Positive,93.08,Adventure,86
457140,Oxygen Not Included,Overwhelmingly Positive,95.12,"Indie,Simulation",86
405640,Pony Island,Overwhelmingly Positive,92.77,Indie,86
243040,Startopia,Very Positive,84.56,Simulation,86
283680,Astebreed: Definitive Edition,Very Positive,84.27,"Action,Indie",86
9350,Supreme Commander,Very Positive,85.25,Strategy,86
368340,CrossCode,Very Positive,91.46,"Action,Adventure,Indie,RPG",86
612880,Wolfenstein II: The New Colossus,Mostly Positive,78.47,Action,86
638970,Yakuza 0,Overwhelmingly Positive,93.68,"Action,Adventure,RPG",86
107100,Bastion,Overwhelmingly Positive,93.64,"Action,Indie,RPG",86
945360,Among Us,Very Positive,91.07,Casual,85
571310,SteamWorld Dig 2,Overwhelmingly Positive,92.43,"Action,Adventure,Indie",85
397190,Sengoku Jidai: Shadow of the Shogun,Mostly Positive,70.67,Strategy,85
245450,Wizardry 8,Very Positive,84.72,"Adventure,RPG",85
379720,DOOM,Overwhelmingly Positive,94.1,Action,85
557750,Giants: Citizen Kabuto,Very Positive,84.25,"Violent,Action,Adventure,RPG",85
894020,Death's Door,Very Positive,91.34,"Action,Adventure,Indie,RPG",85
244210,Assetto Corsa,Very Positive,90.98,"Indie,Racing,Simulation,Sports",85
412020,Metro Exodus,Very Positive,87.74,Action,85
548430,Deep Rock Galactic,Overwhelmingly Positive,95.83,Action,85
416600,Full Metal Furies,Very Positive,87.52,"Action,Adventure,Indie,RPG",85
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,Very Positive,88.28,"Action,Indie",85
434660,Octahedron: Transfixed Edition,Very Positive,82.07,"Action,Indie",85
255710,Cities: Skylines,Very Positive,92.22,"Simulation,Strategy",85
578620,GORN,Very Positive,91.23,"Action,Indie",85
870780,Control Ultimate Edition,Very Positive,86.33,"Action,Adventure",85
219150,Hotline Miami,Overwhelmingly Positive,95.81,"Action,Indie",85
1311510,Embracelet,Very Positive,83.53,"Adventure,Indie",85
57300,Amnesia: The Dark Descent,Overwhelmingly Positive,92.7,"Action,Adventure,Indie",85
418240,Shadow Tactics: Blades of the Shogun,Overwhelmingly Positive,94.17,"Indie,Strategy",85
595790,Hell is Other Demons,Very Positive,85.4,"Action,Indie",85
678950,DRAGON BALL FighterZ,Very Positive,88.97,Action,85
813630,Supraland,Overwhelmingly Positive,92.54,"Action,Adventure,Indie",85
402530,The Last Door: Season 2 - Collector's Edition,Overwhelmingly Positive,88.21,Adventure,85
779340,Total War: THREE KINGDOMS,Very Positive,70.52,"Action,Strategy",85
250320,The Wolf Among Us,Overwhelmingly Positive,95.62,"Action,Adventure,Casual",85
632360,Risk of Rain 2,Overwhelmingly Positive,95.09,"Action,Indie",85
334140,Roche Fusion,Very Positive,82.02,"Action,Casual,Indie",85
1190400,The Wonderful 101: Remastered,Very Positive,82.3,"Action,Adventure",85
473950,Manifold Garden,Overwhelmingly Positive,92.44,"Adventure,Indie",85
528720,Shu,Positive,73.09,"Action,Adventure,Indie",85
553420,TUNIC,Very Positive,90.23,"Action,Adventure,RPG",85
973760,Thronebreaker: The Witcher Tales,Very Positive,86.37,"Adventure,RPG",85
466300,Planescape: Torment: Enhanced Edition,Very Positive,91.24,"Adventure,RPG",85
326520,Chime Sharp,Mostly Positive,66.72,Casual,85
319050,Chaos Reborn,Mostly Positive,72.72,"Indie,RPG,Strategy",85
410710,System Shock: Enhanced Edition,Very Positive,85.91,"Action,Adventure,RPG",85
98200,Frozen Synapse,Very Positive,79.45,"Indie,Strategy",85
429530,Falcon 4.0,Very Positive,77.52,Simulation,85
6980,Thief: Deadly Shadows,Very Positive,78.7,Action,85
363440,Mega Man Legacy Collection,Very Positive,83.32,Action,85
257510,The Talos Principle,Overwhelmingly Positive,93.53,"Action,Adventure,Indie",85
504370,Battlerite,Very Positive,83.19,"Action,Free to Play",85
327500,Zenzizenzic,Very Positive,77.36,"Action,Indie",85
600370,Paradigm,Overwhelmingly Positive,89.3,"Adventure,Indie",85
251150,The Legend of Heroes: Trails in the Sky,Very Positive,90.25,RPG,85
673130,AMID EVIL,Overwhelmingly Positive,91.86,"Action,Adventure,Indie",85
